,POI_namerating,price_corrected,rating,Total_bikes_1km
1505,Bel Café - Kits-tyzaH,,4.0,32
1506,Aquarium Cafe-_HmEg,1.0,4.5,32
1507,Ajiya Sushi Bar-w7q3A,1.0,3.5,32
1508,Ah Long Sushi-gn6ws,,3.5,32
1509,Timbertrain Coffee Roasters-pXmP7,,4.0,30
1510,Sneaky Pete's Pool Cafe-g5e7K,,4.5,30
1511,Sazon Mexican Cuisine-5Va5J,,3.5,30
1512,Reggiano’s Pizza-hFre3,,4.0,30
1513,Kadoya Japanese Restaurant-eklI9,2.0,3.5,30
1514,Best Burrito-Nrmsd,1.0,3.5,30
1515,Rinconcito Salvadoreno Restaurant-_e56I,2.0,3.5,28
1516,Pizza Garden Commercial-bgzFQ,1.0,2.5,28
1517,Penang Bistro--aVcS,2.0,3.0,28
1518,Nene Chicken-I-LkX,,3.5,28
1519,Mean Poutine-llNNX,1.0,4.0,28
1520,LanaLou's-GHgCJ,1.0,3.5,28
1521,La Bise Bakery-Ibeje,,4.5,28
1522,Kojima Sushi-rcGTD,1.0,3.5,28
1523,Joe's Cafe Bar-KJ0Ao,1.0,3.5,28
1524,Holy Smoke-3zaU9,,4.5,28
1525,Good Sushi-EXImm,2.0,3.5,28
1526,Ganache Patisserie-Pi9WL,2.0,4.0,28
1527,Disco Cheetah-KBFdi,2.0,4.0,28
1528,Community Taps + Pizza-Y0gFX,,3.0,28
1529,Burger Crush-4AwQC,2.0,4.5,28
1530,Yardie Grabz-DJlPL,,5.0,26
1531,Uncle Abe's-ELb5M,,3.5,26
1532,Starbucks-35oGS,2.0,3.0,26
1533,S2 Cafe House-c5huG,1.0,3.5,26
1534,Papa’s Gourmet Pizza-7vqgq,1.0,4.0,26
1535,Niu Niu BBQ Restaurant-KPfH9,,2.0,26
1536,Mr Churro-GcePr,,5.0,26
1537,Momono Tea Shop-RkvDV,,4.5,26
1538,Liquids And Solids-djKcH,1.0,4.0,26
1539,Kam Wai Dim Sum-lXMls,1.0,4.0,26
1540,Hyde-k6HVe,2.0,3.5,26
1541,Forecast Coffee-wZELJ,,3.0,26
1542,COBS Bread-QUW0h,1.0,4.0,26
1543,Bean Around the World Coffees-rzCy8,1.0,3.5,26
1544,Astoria-klV8S,1.0,3.0,26
1545,Addah-QbvMa,,4.5,26
1546,101 Boba-68_Bm,,4.5,26
1547,Uno Gelato-yOToT,,4.5,24
1548,The Lido-JqTBm,2.0,3.5,24
1549,Cold Tea Restaurant-OwnL0,,3.5,22
1550,Carlino Restaurant-4vMUH,,3.5,22
1551,Cafe Il Nido-QPy2v,2.0,3.0,22
