,POI_namerating,price_corrected,rating,Total_bikes_1km
372,Grounds For Coffee-4a4Sj,2.0,4.0,378
373,Dundas Eat + Drink-RjaMc,2.0,4.5,378
374,Uncle Fatih's Pizza-I_htQ,1.0,3.5,376
375,The Wolf & Hound-s-bZz,2.0,3.5,376
376,Tacofino Commissary-23kN4,2.0,4.0,376
377,Double DD Pizza-AejLe,2.0,3.5,376
378,Aphrodite's Organic  Pie Shop-mROKr,2.0,3.5,376
379,Simit Bakery-wQMzD,,4.5,374
380,Odd Society Spirits-gMhOz,2.0,4.5,374
381,Sun Sui Wah Seafood Restaurant-UAcbp,2.0,3.5,372
382,La Casa Gelato-Dllpj,2.0,4.0,372
383,El Camino's-LIb2b,2.0,3.5,372
384,Purebread-sNzMl,,4.5,370
385,Thai Son Restaurant-ZHbii,1.0,3.5,368
386,Straight Outta Brooklyn NYC Pizzeria-Bznl0,1.0,4.0,368
387,Sunrise Pizza & Steak House-5wdqT,2.0,3.5,366
388,Nook-jyU8_,,4.0,366
389,Kaide Sushi-NBiBI,2.0,4.0,364
390,Grounds For Coffee-zcoPj,2.0,4.0,364
391,Won More Szechuan Cuisine-h4hJ1,2.0,4.0,362
392,Vonns--MpIN,,4.5,362
393,The Park Pub-6ELhQ,2.0,3.5,362
394,The Only Cafe-_o4eC,2.0,4.5,362
395,La Taqueria Pinche Taco Shop-vXTo6,2.0,4.5,362
396,Hook Restaurant-gVnMn,3.0,3.5,362
397,Jackalope's Neighbourhood Dive-maVuf,2.0,4.5,360
398,Fat Mao Noodles-WAoOG,,4.5,360
399,Straight Outta Brooklyn NYC Pizzeria-vSoUs,1.0,4.0,358
400,Mello-MbdhO,1.0,4.5,358
401,Akbar's Own Dining Lounge-VcQA3,2.0,3.5,358
402,Ofra’s Kitchen-tzJJt,,4.5,356
403,Legendary Noodle House-lkesp,2.0,3.5,356
404,Tabom-dGLqM,,4.0,354
405,Shizenya on Broadway-VcaNo,2.0,4.0,354
406,Oh Sweet Day-gpsha,,4.5,352
407,Fujiya Japanese Foods-gpTJq,1.0,4.0,348
408,Bon Crepe-Opagb,1.0,4.5,348
409,Homer St. Cafe and Bar-_-8ej,2.0,3.5,346
410,Caffe W-jUEU9,1.0,4.5,346
411,Breka Bakery & Cafe-TKrKl,2.0,4.0,346
412,The French Table Bistro-uuN8Q,3.0,3.5,344
413,Nook-QHwx4,2.0,4.0,344
414,Loku Japanese Cuisine-vLnt3,,3.5,344
415,Key Party-acjbJ,,4.5,344
416,JJ Bean Coffee Roasters-tHSNY,1.0,3.5,344
417,Glowbal-hf4T7,3.0,3.0,342
418,Disco Cheetah-wzdPb,2.0,4.0,342
419,Mamalee Malaysian Delight-yax1n,2.0,3.5,340
420,Kitstaya Sushi-Liikk,1.0,3.0,340
421,Deacon's Corner-cSKow,2.0,3.5,340
422,Tropika On Cambie-KN9zC,2.0,3.0,338
423,The Firewood Café-NPOkj,2.0,4.0,338
424,Riley's Fish & Steak-2L1qg,,4.5,338
425,Level V Bakery-STTsn,,4.5,336
426,Zakkushi Dining On Main-8vQHb,2.0,4.0,334
427,Finch & Barley-R9R61,2.0,4.0,334
428,Uno Gelato-sc5je,,4.5,332
429,The PokéMan-ki2r4,2.0,4.5,332
430,Shiro-HIJlN,2.0,4.0,332
431,Folke Restaurant-LfA9O,,4.5,332
432,CRAFT Beer Market-7bKQ2,,4.0,332
433,Ophelia-f_mAW,,3.5,330
434,Handi Grill-aaBoK,2.0,3.5,330
435,Earnest Ice Cream-vwoK7,2.0,4.5,328
436,Deja Brew-qfM6Z,2.0,4.5,328
437,The Three Brits Public House-xhDQ6,2.0,3.5,326
438,The Gluten Free Epicurean-FHT6x,1.0,4.0,326
439,Tandoori Fusion-QxNVm,2.0,4.0,326
440,Pho Japolo-zkib9,2.0,4.0,326
441,Livia-Vtmuv,2.0,4.0,326
442,Bells and Whistles-ki6qk,2.0,3.0,326
443,Barbara-d0YyL,,4.5,326
444,Nemesis Coffee-GQK8t,2.0,4.5,324
445,Tocador-0DOiG,2.0,3.5,322
446,Black & Blue-ai3Do,4.0,3.5,322
447,The Boathouse Restaurant-JT0hv,2.0,2.5,320
448,The Bayside Lounge--kPDl,2.0,3.5,320
449,Aphrodite's Organic Cafe-HuQNz,2.0,3.0,318
450,The Lennox Pub-JiWMD,2.0,3.5,316
451,Mary's on Davie-u1x6D,,4.0,316
452,Happy Lamb Hot Pot-3Q-v4,2.0,3.0,316
453,Salt Tasting Room-r-UGA,2.0,4.0,314
454,The Victor-YV0ty,4.0,3.5,312
455,Jericho Beach-dN_NU,,4.5,312
456,Hime Sushi Restaurant-UjDZw,2.0,3.5,312
457,Dalina-z8Ll8,2.0,4.5,312
458,Camion Cafe-C-ddZ,,5.0,312
459,Indian Oven Restaurant-LpkjU,2.0,3.5,310
460,Simply Sushi  Bar-v8zJs,1.0,4.0,308
461,The Locus-VNxlp,2.0,4.0,306
462,The Tiki Bar-FS_8U,2.0,4.0,304
463,Tandoori Palace-iPlWT,2.0,3.5,304
464,The Magnet-JGZbG,,5.0,302
465,Pallet Coffee Roasters-mGPro,2.0,4.5,302
466,On Lok-vPxMZ,2.0,3.0,302
467,Indochine Kitchen-S1Rmn,2.0,3.0,300
468,Browns Socialhouse Point Grey-onSot,2.0,3.5,300
469,The Ramen Butcher-XZg7T,2.0,3.5,298
470,Take Thai Home-90Mh5,2.0,3.5,296
471,Naruto Sushi-EWwUw,1.0,3.5,296
472,Mitra Canteen-kkg_8,1.0,4.0,296
473,Fratelli Authentic Italian Baking-TZFzu,2.0,4.0,296
474,Fiorino-seDlM,2.0,4.0,296
475,Café Calabria-ZOu3g,2.0,3.5,296
476,The Templeton-2rME5,2.0,4.0,294
477,The Hoke Poke-h60Cu,2.0,4.5,294
478,Cafe & Life Co.-sJ-mE,,4.5,294
479,Swiss Bakery-Yw2rJ,1.0,4.0,292
480,Siegel's Bagels-JvnNR,1.0,4.0,292
481,Per Se Social Corner-s_Wc0,2.0,3.5,292
482,Broadway Station Sushi-qojkM,2.0,3.0,292
483,The Naam-_3TI4,2.0,3.5,290
484,Papi's Seafood and Oyster Bar-Kngyi,,3.5,290
485,Mediterranean Grill-xShqh,2.0,3.0,290
486,Lumiere Cafe-9hcYO,,4.5,290
487,La Boqueria-ZaO2Z,,4.0,290
488,Maruhachi Ra-men-uYDRM,2.0,3.5,288
489,Lucy's Eastside Diner-0kB2w,2.0,3.0,288
490,Kosoo Restaurant-FLRlO,2.0,3.5,288
491,Lemonade Gluten Free Bakery-OP174,2.0,4.5,286
492,Devil's Elbow Ale & Smoke House-K7c5u,2.0,3.5,286
493,Darby's Pub-QrnrY,2.0,3.5,286
494,Chung Chun-0PI5V,1.0,4.5,286
495,Caffe Cittadella-UkSNd,2.0,4.0,286
496,La Pache Pizza-T7KT5,,4.0,284
497,Juno Provisions-9ltXA,,4.0,284
498,Chang'An-6qT3o,3.0,3.5,284
499,Argo Café-dPO65,2.0,4.0,284
